Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
Lichrospher RP Select B,2.76,1.32,1.21,0.66,1.4,0.14,16,5,1,60
Lichrospher RP18,7.92,1.48,1.73,0.54,1.39,0.19,10,5,1,100
Luna C18,5.97,1.47,1.17,0.4,0.24,0.08,10,5,1,100
Luna C18 (2),6.34,1.47,1.23,0.41,0.26,0.06,10,5,1,100
Luna CN,0.17,1.14,1.47,0.75,3.51,0.24,19,5,1,100
Luna NH2 (tests not appropriate),-0.17,1.01,4.05,0.47,0.43,3.41,5,5,1,100
Luna Omega C18,5.42,1.46,1.13,0.45,0.42,0.11,10,1.6,1,100
Luna Omega Polar C18,3.58,1.43,1.14,0.67,0.66,0.13,10,1.6,1,100
Luna Omega PS C18,3.84,1.43,1.11,0.53,0.51,0.08,10,1.6,1,100
Luna PFP,3.26,1.35,2.42,0.76,0.59,0.09,28,5,1,100
Luna Phenyl-Hexyl,2.82,1.33,1.1,0.91,0.33,0.11,30,5,1,100
Magellan C18,6.19,1.5,1.24,0.41,0.27,0.15,10,5,1,50
MetaSil Basic,2.03,1.32,1.25,0.32,0.29,0.09,24,5,1,100
MonoChrom CN,0.24,1,1.96,0.38,0.53,0.18,19,5,1,110
MonoChrom Diol,0,1,3.7,0.49,3.3,0,21,5,1,110
Monochrom MS,1.69,1.27,2.53,0.83,0.66,0.15,28,5,1,110
Novapak C18,4.49,1.49,1.44,0.48,0.27,0.14,10,5,1,60
Novapak phenyl,0.98,1.29,1,1.56,0.89,0.25,30,5,1,60
Nucleodur C18 ec,7.86,1.48,1.74,0.44,0.76,0.08,10,5,1,110
Nucleodur C18 Gravity 1.8 µm,9,1.52,1.39,0.37,0.26,0.07,10,1.8,1,110
Nucleodur C18 Gravity 3.0 µm,9.35,1.52,1.38,0.37,0.27,0.07,10,3,1,110
Nucleodur C8 Gravity,2.91,1.36,0.83,0.3,0.35,0.06,10,0,1,110
Nucleodur Isis 1.8 µm,8,1.5,1.8,0.35,0.54,0.06,10,1.8,1,110
Nucleodur Isis 3um,7.22,1.48,1.89,0.33,0.48,0.07,10,3,1,110
Nucleodur Pyramid 1.8 µm,8.27,1.5,1.24,0.47,0.4,0.06,12,1.8,1,110
Nucleodur Pyramid 3.0 µm,6.95,1.5,1.19,0.49,0.41,0.04,12,3,1,110
Nucleodur Sphinx 1.8 µm,5.26,1.45,1,0.69,0.4,0.09,13,1.8,1,110
Nucleodur Sphinx 3.0 µm,4.74,1.43,0.95,0.67,0.45,0.09,13,3,1,110
Nucleosil 100-5 C18 HD,6.04,1.48,1.54,0.4,0.47,0.1,10,5,1,100
Nucleosil 100-5 C18 Nautilus,3.37,1.4,1.98,0.33,0.48,0.01,25,5,1,100
Nucleosil 100-5 C8 HD,3.05,1.38,0.91,0.49,0.51,0.13,16,5,1,100
Nucleosil 300-5 C18,1.33,1.43,1.9,0.88,2.22,0.22,10,5,1,300
Nucleosil C18,4.8,1.44,1.68,0.7,2.18,0.13,10,5,1,100
Omnisphere C18,8.54,1.48,1.69,0.41,0.56,0.11,10,5,1,110
Optimal ODS-L,5.87,1.48,1.26,0.51,0.3,0.09,10,5,1,120
Optimal-ODS H,6.15,1.48,1.38,0.44,0.24,0.09,10,5,1,120
Phenonemex Aqua,6.21,1.48,1.27,0.6,0.52,0.11,6,5,1,125
pHidelity C18,3.11,1.43,1.48,0.53,2.19,0.2,10,5,1,200
Pinnacle DB PFPP,0.82,1.22,2.45,0.65,0.85,0.3,28,5,1,140
Platinum C18,2.12,1.39,1.23,0.81,2.82,0.21,10,5,1,100
Platinum C18 EPS,0.97,1.31,1.98,2.62,10.11,0.26,10,5,1,100
Polaris Amide C18,2.87,1.43,2.43,0.2,0.15,-0.02,25,5,1,200
Polaris C18 A,3.2,1.44,1.85,0.34,0.33,0.11,10,5,1,200
Polaris C18 Ether,2.98,1.45,1.63,0.46,0.38,0.1,26,5,1,200
Polaris C8 Ether,0.82,1.29,1.49,0.5,0.56,0.31,27,5,1,200
Poroshell 120 EC-C18 2.7 mm,5.29,1.49,1.29,0.41,0.35,0.1,10,2.7,0,120
Poroshell 120 SB-C18 2.7 µm,3.43,1.45,1.21,0.55,0.62,0.12,10,2.7,0,120
Poroshell Bonus RP,1.73,1.34,1.57,0.39,0.31,0.01,25,2.7,0,120
Poroshell HPH C18,3.83,1.49,1.26,0.45,0.38,0.1,10,2.7,0,120
Poroshell SB-Aq,0.55,1.3,1.11,0.36,1.14,0.18,6,2.7,0,120
PoroshellPFP,1.25,1.5,2.8,0.67,0.67,0.04,28,2.7,0,120
PoroshellPhenyl Hexyl,1.98,1.33,1.21,0.86,0.44,0.14,30,2.7,0,120
Primesep 100,1.78,1.28,1.92,0.88,9.6,7.83,4,5,1,100
Primesep 200,1.79,1.26,2.27,0.8,11.12,2.12,4,5,1,100
Primesep A,1.63,1.26,1.89,1.03,16.3,12.11,2,5,1,100
Primesep B,1.78,1.38,2,0.56,0.21,-0.03,1,5,1,100
Prism NRP (nec),1.68,1.35,2.24,0.42,1.23,0.01,25,5,1,100
Prism RP (ec),2.54,1.33,1.66,0.38,0.59,0.01,25,5,1,100
Prodigy ODS2,4.94,1.49,1.43,0.37,0.5,0.01,10,5,1,150
Prodigy ODS3,7.27,1.49,1.26,0.42,0.27,0.09,10,5,1,100
Prodigy phenyl,0.87,1.22,1,1,2.52,0.16,30,5,1,100
Prontosil C18-AQ,4.8,1.46,1.28,0.58,0.56,0.11,6,5,1,120
Purospher RP18,4.78,1.44,1.93,0.72,1.29,-0.07,10,5,1,90
Purospher RP18e,6.51,1.48,1.75,0.46,0.34,0.08,10,5,1,90
Purospher STAR RP C18 2 µm,8.31,1.47,1.74,0.43,0.36,0.1,10,2,1,120
Purospher STAR RP18 3 µm,8.41,1.52,1.88,0.4,0.28,0.09,10,3,1,120
Purospher STAR RP18e,6.57,1.48,1.56,0.34,0.34,0.1,10,5,1,120
Pursuit C18,3.73,1.47,1.57,0.38,0.37,0.11,10,5,1,200
Pursuit Diphenyl,0.52,1.21,0.89,0.77,0.44,0.23,22,5,1,200
Pursuit PFP,1.03,1.28,2.46,0.73,0.4,0.12,28,5,1,200
Pursuit XRs C18,8.23,1.5,1.45,0.42,0.32,0.1,10,5,1,100
Pursuit XRs DP,5.97,1.18,0.87,0.88,0.46,0.14,22,5,1,100
QS Strategy C18-2,6.05,1.49,1.54,0.42,0.43,0.08,10,5,1,100
QS Uptisphere 3 HDO,4.88,1.46,1.29,0.57,0.55,0.11,10,3,1,120
QS Uptisphere 3 ODB,6.19,1.48,1.36,0.49,0.52,0.1,10,3,1,120
QS Uptisphere 5 MM1,1.8,1.39,0.94,0.45,0.73,0.66,18,5,1,120
QS Uptisphere 5 PLP,1.18,1.33,1.81,0.44,0.39,-0.12,25,5,1,120
QS Uptisphere 5 TF,1.77,1.52,3.11,0.33,0.61,0.15,10,5,1,120
